Date,Open,High,Low,Close,Volume,Adj Close
2016-11-17,29.209999,29.35,28.67,28.76,2667800,28.76
2016-11-16,29.34,29.610001,29.07,29.32,2243900,29.32
2016-11-15,29.51,29.959999,28.98,29.41,4393000,29.41
2016-11-14,27.98,29.51,27.85,29.40,5501500,29.40
2016-11-11,27.85,28.41,27.85,28.10,4516300,28.10
2016-11-10,28.66,28.790001,27.610001,27.940001,7930500,27.940001
2016-11-09,28.76,29.379999,27.889999,28.83,6493700,28.83
2016-11-08,29.82,29.84,29.280001,29.709999,4477000,29.709999
2016-11-07,29.940001,30.280001,29.66,30.26,5102100,29.89
2016-11-04,28.77,29.57,28.610001,29.52,7522400,29.159049
2016-11-03,29.23,29.23,28.379999,28.67,6363100,28.319442
2016-11-02,30.41,30.450001,29.219999,29.23,6656600,28.872594
2016-11-01,30.950001,32.32,30.25,30.469999,10682700,30.097432
2016-10-31,34.270003,34.450001,34.130001,34.250002,5827500,30.811671
2016-10-28,34.210002,34.460001,34.060002,34.140001,3650300,30.712713
2016-10-27,35.000002,35.000002,34.020001,34.080002,4387800,30.658737
2016-10-26,35.540003,35.62,34.870002,35.070001,4188900,31.549351
2016-10-25,36.13,36.150001,35.580003,35.590001,3507500,32.017149
2016-10-24,36.09,36.520003,35.800002,36.080002,3135700,32.457959
2016-10-21,36.380001,36.60,35.780002,35.850001,4724400,32.251047
2016-10-20,36.77,36.990003,36.570002,36.660001,2611200,32.979732
2016-10-19,36.71,37.35,36.60,36.850002,3194100,33.150659
2016-10-18,36.56,37.090001,36.380001,36.690004,2716100,33.006723
2016-10-17,36.26,36.630003,36.09,36.320001,2777800,32.673864
2016-10-14,36.470001,36.670003,36.13,36.24,1795200,32.601895
2016-10-13,35.930002,36.650003,35.760002,36.470001,3130600,32.808806
2016-10-12,35.720001,36.120002,35.630002,36.09,2416000,32.466953
2016-10-11,35.96,36.140002,35.530001,35.750004,2287400,32.161089
2016-10-10,35.950002,36.290002,35.900003,36.060001,1575200,32.439966
2016-10-07,36.11,36.71,35.850001,35.910001,2972400,32.305025
2016-10-06,36.180003,36.390004,35.68,35.950002,2837100,32.34101
2016-10-05,36.970003,37.190002,36.060001,36.310003,3217000,32.66487
2016-10-04,37.760003,37.82,36.460003,36.840003,4699400,33.141664
2016-10-03,37.780003,38.090001,37.510002,37.610003,3345100,33.834365
2016-09-30,38.820001,39.10,37.920001,37.950004,4596400,34.140233
2016-09-29,39.170003,39.320003,38.520001,38.540001,3209000,34.671001
2016-09-28,38.920002,39.370002,38.810003,39.340003,2315800,35.390691
2016-09-27,39.600003,39.610001,38.660003,38.76,4077400,34.868914
2016-09-26,39.120001,39.70,39.040004,39.600003,3768700,35.62459
2016-09-23,38.810003,39.53,38.46,39.280003,3515900,35.336714
2016-09-22,38.400003,38.980003,38.33,38.91,3195800,35.003856
2016-09-21,37.630004,38.210003,37.120003,38.150002,2842600,34.320153
2016-09-20,37.730001,37.950004,37.54,37.640002,2779700,33.861351
2016-09-19,37.310003,37.510002,37.210002,37.440003,2902800,33.681431
2016-09-16,36.88,37.22,36.650003,37.160004,4717900,33.42954
2016-09-15,36.890002,37.210002,36.650003,37.03,2594600,33.312587
2016-09-14,37.120003,37.320002,36.690004,36.940001,3294000,33.231623
2016-09-13,37.900001,38.01,36.810001,36.950003,4231600,33.240621
2016-09-12,37.900001,38.450002,37.67,38.100004,5721500,34.275174
2016-09-09,39.190004,39.190004,37.82,38.130002,7225900,34.302161
2016-09-08,40.080001,40.080001,39.38,39.600003,7957800,35.62459
2016-09-07,40.02,40.430003,39.980004,40.330002,3447800,36.281305
2016-09-06,39.180001,40.150004,39.010001,40.130004,4007700,36.101384
2016-09-02,38.91,39.580002,38.730002,39.08,2151000,35.15679
2016-09-01,39.350001,39.390002,38.59,38.80,2929700,34.904899
2016-08-31,39.430003,39.590001,39.10,39.330001,3368700,35.381693
2016-08-30,39.23,39.440001,38.870003,39.42,2401700,35.462658
2016-08-29,38.740004,39.38,38.740004,39.130003,2053000,35.201773
2016-08-26,39.670002,39.790003,38.430002,38.740004,3233300,34.850925
2016-08-25,39.460001,39.900003,39.370002,39.580002,1898100,35.606597
2016-08-24,39.790003,39.920003,39.23,39.460001,1721400,35.498642
2016-08-23,39.630001,39.990002,39.470003,39.780001,2638500,35.786518
2016-08-22,39.480001,39.710002,39.240002,39.42,3926000,35.462658
2016-08-19,39.72,39.960003,39.260002,39.470003,4414700,35.507641
